id|userid|prefix|firstname|lastname|tel|ctzId|gender|password|salt|balance
1|11846785|นาย|คเชนทร์ชัย|ใจกล้า|0953163103|1839901956839|ชาย|ccb655fd26a7245304e787e06197a3377f380e40a2c9ebce3edad7b81add4622|If2T8dnLxkISWB6J|2523
2|10018467|ด.ช.|กนก|เดชา|0891952932|1234567890123|ชาย|2a57ae025f5a1ee9a0af98e1c3bc4beb7a37e7d757704bbe400883811b797de8|NpaVjGEQKvThTVCb|1900.32
3|10018567|ด.ญ.|test|test|0147852369|7458963210123|หญิง|a47a0f77941a3dd33832fb7263f307731120e508494b33809e2f4157ec68e4a1|aaLZyPwfPmOVNAu2|1820
4|10006334|นางสาว|สมพร|คนใต้|0874936553|5554443332221|หญิง|eae852c0537e1574d297f86a2d915e02a5fe862213618ea4029d24be7829d1f0|XaMgvO6KRWgv3ycs|1000
5|10026500|ด.ญ.|อิคคิว|หมีน้อย|0823697412|1839912345678|หญิง|809cd87607254cbcfb44055603d538550fbac3100fe22b4d90f208fedbf6a936|CJlEhBFzrZqtHnWN|300
6|10019169|ด.ญ.|สวย|สวย|0874125639|1478523690123|ชาย|2fb447c416cded233f20d604e03e189f9e8995aba578b10cc0e660f3f6ebacc7|3mSUy0h1cnB9SYmY|500
7|10015724|ด.ญ.|สาว|สาว|04785693210|1839945671289|หญิง|f52efe03e75dd92a3b354142831575f66c64567ca68b68f811c66eb31c57c94e|6AuMyusVUUfQ8gXo|500
8|10011478|ด.ช.|นาย|นาย|0874563219|1234568745212|ชาย|9b81a3a5ac9fe28df3cb313d4ca9ff54fa554a4938ea8785bddb60c8124d8de4|NTlN4merpYl6BvnS|500
9|10029358|ด.ช.|เอ|เอ|01236589740|1478523654123|ชาย|9fc3900bedea06708840a00f096c3f06e1bb1b2dc509fbe913d5e92de5ef0128|wKCXTm9S6TwvKMKl|2900
10|10026962|นาง|สาวสวย|สาวสวย|0321654987|2589631470123|หญิง|85ec8824d3e52ccfb220c7001cd23c67112eab28500af5361a9d6230faee924a|FApguuwVuv8whLhE|500
11|10000041|นาง|ยูเอส|สหรัฐ|0987456321|5554447778881|ชาย|c53287458f475ace6bc96a6212550911028003864d4ec883f42ee6e3618aad31|5UIWT0uuNj67mHj8|3000
12|10024464|ด.ญ.|ฟหกฟหก|หกฟหกฟหก|0654987123|1012354698745|หญิง|d036b105520a36a70232f025287e392978fccb58e00fcf85ffbc39c49fbc336e|4C991Qa3vSsCYO31|500
13|34388994|ด.ญ.|หกฟหกฟหก|ฟหกฟหกฟหก|0123687458|5478923690123|หญิง|bc5208cebebe0aacc1fe9dff39d5a3f431a80c416fcad56e4ae8845ceb5597c6|3zrMUkxPdPqVU46S|500
